id,url,name,since,about,response_time,response_rate,acceptance_rate,is_superhost,thumbnail_url,picture_url,neighbourhood,listings_count,total_listings_count,verifications,has_profile_pic,identity_verified,calculated_host_listings_count,city,state,country
5229526,https://www.airbnb.com/users/show/5229526,,,,,,,,,,,,,None,,,2,,,
86370223,https://www.airbnb.com/users/show/86370223,James,2016-07-27,"",within a few hours,100,N/A,f,https://a2.muscache.com/im/pictures/4addadb6-fbf4-4c1c-ad67-bb45535e0b4a.jpg?aki_policy=profile_small,https://a2.muscache.com/im/pictures/4addadb6-fbf4-4c1c-ad67-bb45535e0b4a.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'reviews']",t,f,1,"","",US
12133622,https://www.airbnb.com/users/show/12133622,Charlie,2015-10-21,"",N/A,,N/A,f,https://a2.muscache.com/im/pictures/7dca8a21-509d-462c-b0e1-1d395864431b.jpg?aki_policy=profile_small,https://a2.muscache.com/im/pictures/7dca8a21-509d-462c-b0e1-1d395864431b.jpg?aki_policy=profile_x_medium,Eliot,1,1,"['email', 'phone', 'reviews']",t,f,1,"","",US
97424302,https://www.airbnb.com/users/show/97424302,Chippy,2016-09-30,"",within an hour,100,N/A,f,https://a2.muscache.com/im/pictures/b5c99fb4-edfb-402e-991d-38a6d35545af.jpg?aki_policy=profile_small,https://a2.muscache.com/im/pictures/b5c99fb4-edfb-402e-991d-38a6d35545af.jpg?aki_policy=profile_x_medium,King,1,1,"['email', 'phone']",t,f,1,"","",US
93514048,https://www.airbnb.com/users/show/93514048,Karen,2016-09-04,"",N/A,,N/A,f,https://a2.muscache.com/im/pictures/9777dd48-ffc6-4940-ac02-2ab5dbe5ebdc.jpg?aki_policy=profile_small,https://a2.muscache.com/im/pictures/9777dd48-ffc6-4940-ac02-2ab5dbe5ebdc.jpg?aki_policy=profile_x_medium,Creston-Kenilworth,1,1,['phone'],t,f,1,"","",US
87085368,https://www.airbnb.com/users/show/87085368,Noelle,2016-07-31,"",within a few hours,100,N/A,f,https://a2.muscache.com/defaults/user_pic-50x50.png?v=2,https://a2.muscache.com/defaults/user_pic-225x225.png?v=2,,1,1,"['email', 'phone', 'reviews']",f,f,1,Portland, Oregon, United States
96037665,https://www.airbnb.com/users/show/96037665,Janet,2016-09-20,"",N/A,,N/A,f,https://a2.muscache.com/im/pictures/160d1f9c-438e-4b24-a06d-6f2364259687.jpg?aki_policy=profile_small,https://a2.muscache.com/im/pictures/160d1f9c-438e-4b24-a06d-6f2364259687.jpg?aki_policy=profile_x_medium,University Park,1,1,['phone'],t,f,1,"","",US
39083397,https://www.airbnb.com/users/show/39083397,Amine,2015-07-20,"",within an hour,100,N/A,t,https://a1.muscache.com/im/users/39083397/profile_pic/1444085399/original.jpg?aki_policy=profile_small,https://a1.muscache.com/im/users/39083397/profile_pic/1444085399/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'reviews']",t,f,1,"","",US
89355072,https://www.airbnb.com/users/show/89355072,Adam,2016-08-11,"",within an hour,100,N/A,f,https://a2.muscache.com/im/pictures/b8927627-fe3b-4945-bd89-e48e94d447fb.jpg?aki_policy=profile_small,https://a2.muscache.com/im/pictures/b8927627-fe3b-4945-bd89-e48e94d447fb.jpg?aki_policy=profile_x_medium,Laurelhurst,1,1,"['email', 'phone', 'reviews']",t,f,1,"","",US
37727048,https://www.airbnb.com/users/show/37727048,Cameron,2015-07-06,"",within a few hours,100,N/A,t,https://a2.muscache.com/im/users/37727048/profile_pic/1438628756/original.jpg?aki_policy=profile_small,https://a2.muscache.com/im/users/37727048/profile_pic/1438628756/original.jpg?aki_policy=profile_x_medium,Eliot,1,1,"['email', 'phone', 'reviews']",t,f,1,Portland, Oregon, United States
26708195,https://www.airbnb.com/users/show/26708195,Sara,2015-01-25,"",within an hour,100,N/A,t,https://a0.muscache.com/im/users/26708195/profile_pic/1443472620/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/26708195/profile_pic/1443472620/original.jpg?aki_policy=profile_x_medium,Pearl,1,1,"['email', 'phone', 'reviews', 'kba']",t,t,1,"","",US
